"GemeindeName","KantonKurzname","GemeindeNameSchule","GemeindeVerzeichnisFlag","GemeindeNummer","AnzahlEinwohner","RegionCode","RegionName","RegionKuerzel","WahlkreisName","WahlkreisKuerzel","AmtName","AmtKuerzel","BRank_Gesamt","BRank_Arbeitsmarkt","BRank_Bevoelkerung","BRank_Erreichbarkeit","BRank_Sicherheit","BRank_Steuerbelastung","BRank_Versorgung","BRank_Wohnen","SteuerFuss","MaturaNoteDurchschnitt","MaturaQuote","AuslaenderAnteil","GesamtRank","ArbeitsmarktRank","BevoelkerungRank","ErreichbarkeitRank","SicherheitRank","SteuernRank","VersorgungRank","AuslaenderAnteilRank"
"Root","LU","Root",1,1065,4736,4,"Rooterberg/Rigi","ROR","Wahlkreis Luzern-Land","LL","Amt Luzern","LU",468,504,690,462,273,397,472,192,3.4,4.69,1.06,24.9,38,47,70,6,74,14,30,84
"Rothenburg","LU","Rothenburg",1,1040,7246,2,"Agglomerationskern","AGK","Wahlkreis Hochdorf","HO","Amt Hochdorf","HO",250,163,277,513,177,367,511,243,3.5,4.71,2.26,8.9,15,16,27,10,59,18,36,31
"Ruswil","LU","Ruswil",1,1098,6812,10,"Rottal-Wolhusen","ROW","Wahlkreis Sursee","SU","Amt Sursee","SU",400,158,577,840,73,537,492,777,3.6,4.79,1.57,7.6,32,15,61,64,37,34,33,22
"Römerswil","LU","Römerswil",1,1039,1669,11,"Seetal","SEE","Wahlkreis Hochdorf","HO","Amt Hochdorf","HO",338,206,207,806,135,441,492,460,3.75,4.74,1.26,5.3,26,20,19,41,58,51,33,8
"Schenkon","LU","Schenkon",1,1099,2731,5,"Sursee/Sempachersee","SUR","Wahlkreis Sursee","SU","Amt Sursee","SU",136,18,102,830,73,86,610,62,2.85,4.73,3.08,4.9,5,1,7,57,37,2,50,6
"Schlierbach","LU","Schlierbach",1,1100,792,6,"Michelsamt/Surental","MIC","Wahlkreis Sursee","SU","Amt Sursee","SU",740,665,404,834,73,516,770,616,3.35,4.81,1.89,8.7,67,68,39,61,37,11,69,29
"Schongau","LU","Schongau",1,1041,1004,11,"Seetal","SEE","Wahlkreis Hochdorf","HO","Amt Hochdorf","HO",316,78,271,812,177,521,116,503,3.8,4.66,2.09,5.5,20,7,23,44,59,57,8,11
"Schwarzenberg","LU","Schwarzenberg",1,1066,1686,3,"Agglomerationsgürtel (Luzerner Teil)","AGG","Wahlkreis Luzern-Land","LL","Amt Luzern","LU",524,474,731,646,189,494,591,542,3.8,4.53,2.02,6.4,41,43,75,22,72,57,47,16
"Schötz","LU","Ohmstal XXX",0,1143,4095,8,"Willisau","WIL","Wahlkreis Willisau","WI","Amt Willisau","WI",772,591,333,814,10,579,837,657,3.85,4.58,1.56,16.4,78,54,34,49,1,65,79,63
"Schötz","LU","Schötz",1,1143,4095,8,"Willisau","WIL","Wahlkreis Willisau","WI","Amt Willisau","WI",772,591,333,814,10,579,837,657,3.85,4.58,1.56,16.4,78,54,34,49,1,65,79,63
"Schüpfheim","LU","Schüpfheim",1,1008,4111,9,"Entlebuch","ENT","Wahlkreis Entlebuch","EN","Amt Entlebuch","EN",531,323,689,846,20,524,775,459,3.75,4.76,2.51,8.1,42,28,69,66,26,51,70,24
"Sempach","LU","Sempach",1,1102,4171,5,"Sursee/Sempachersee","SUR","Wahlkreis Sursee","SU","Amt Sursee","SU",61,163,104,736,73,468,285,112,3.6,4.72,3.31,7.9,3,16,9,32,37,34,18,23
"Sursee","LU","Sursee",1,1103,9390,5,"Sursee/Sempachersee","SUR","Wahlkreis Sursee","SU","Amt Sursee","SU",321,343,488,685,73,339,58,15,3.45,4.73,2.06,15.3,25,30,51,24,37,16,4,61
"Triengen","LU","Triengen",1,1104,4462,6,"Michelsamt/Surental","MIC","Wahlkreis Sursee","SU","Amt Sursee","SU",777,733,506,832,73,326,818,510,3.35,4.7,1.52,24.5,80,78,55,58,37,11,74,83
"Udligenswil","LU","Udligenswil",1,1067,2262,3,"Agglomerationsgürtel (Luzerner Teil)","AGG","Wahlkreis Luzern-Land","LL","Amt Luzern","LU",220,104,30,580,273,424,680,169,3.55,4.67,1.86,9.6,13,11,1,16,74,25,58,36
"Ufhusen","LU","Ufhusen",1,1145,876,8,"Willisau","WIL","Wahlkreis Willisau","WI","Amt Willisau","WI",733,681,629,868,10,519,368,510,4.0,4.77,1.37,4.6,65,71,65,83,1,78,22,3
"Vitznau","LU","Vitznau",1,1068,1271,4,"Rooterberg/Rigi","ROR","Wahlkreis Luzern-Land","LL","Amt Luzern","LU",148,416,160,817,273,192,50,41,2.9,4.08,0.55,24.0,6,35,13,51,74,3,1,81
"Wauwil","LU","Wauwil",1,1146,1904,7,"Unteres Wiggertal","WIG","Wahlkreis Willisau","WI","Amt Willisau","WI",561,493,551,720,10,505,834,606,3.75,4.74,1.31,25.6,46,45,59,28,1,51,78,86
"Weggis","LU","Weggis",1,1069,4355,4,"Rooterberg/Rigi","ROR","Wahlkreis Luzern-Land","LL","Amt Luzern","LU",148,416,160,817,273,192,50,41,3.05,4.85,0.92,22.3,6,35,13,51,74,5,1,80
"Werthenstein","LU","Werthenstein",1,1009,2035,10,"Rottal-Wolhusen","ROW","Wahlkreis Entlebuch","EN","Amt Entlebuch","EN",678,541,772,837,20,613,585,305,4.0,4.8,1.33,13.1,56,50,81,63,26,78,46,55
"Wikon","LU","Wikon",1,1147,1470,7,"Unteres Wiggertal","WIG","Wahlkreis Willisau","WI","Amt Willisau","WI",712,780,752,323,10,575,377,506,4.1,4.74,0.41,15.2,61,82,76,2,1,88,23,60
"Willisau","LU","Willisau",1,1151,7623,8,"Willisau","WIL","Wahlkreis Willisau","WI","Amt Willisau","WI",705,623,594,892,10,532,223,413,3.8,4.69,2.32,9.9,58,63,63,87,1,57,15,37
"Wolhusen","LU","Wolhusen",1,1107,4294,10,"Rottal-Wolhusen","ROW","Wahlkreis Entlebuch","EN","Amt Sursee","SU",726,627,822,818,20,613,768,188,4.0,4.66,1.84,15.7,64,65,84,54,26,78,65,62
"Zell (LU)","LU","Zell (LU)",1,1150,1999,8,"Willisau","WIL","Wahlkreis Willisau","WI","Amt Willisau","WI",761,739,664,843,10,505,512,607,3.6,4.77,2.05,11.6,74,79,67,65,1,34,37,49
