Wert;Label;Gemeinde;Kanton;Jahr
269;WOHNEN;Thalwil;ZH;2018
34;ARBEITSMARKT;Thalwil;ZH;2018
334;BEVÖLKERUNG;Thalwil;ZH;2018
36;STEUERBELASTUNG;Thalwil;ZH;2018
125;ERREICHBARKEIT;Thalwil;ZH;2018
240;VERSORGUNG;Thalwil;ZH;2018
431;SICHERHEIT;Thalwil;ZH;2018
9;RANG;Cham;ZG;2018
ZG;KANTON;Cham;ZG;2018
Cham;GEMEINDE;Cham;ZG;2018
111;WOHNEN;Cham;ZG;2018
3;ARBEITSMARKT;Cham;ZG;2018
164;BEVÖLKERUNG;Cham;ZG;2018
6;STEUERBELASTUNG;Cham;ZG;2018
393;ERREICHBARKEIT;Cham;ZG;2018
249;VERSORGUNG;Cham;ZG;2018
529;SICHERHEIT;Cham;ZG;2018
10;RANG;Männedorf;ZH;2018
ZH;KANTON;Männedorf;ZH;2018
Männedorf;GEMEINDE;Männedorf;ZH;2018
100;WOHNEN;Männedorf;ZH;2018
242;ARBEITSMARKT;Männedorf;ZH;2018
84;BEVÖLKERUNG;Männedorf;ZH;2018
63;STEUERBELASTUNG;Männedorf;ZH;2018
416;ERREICHBARKEIT;Männedorf;ZH;2018
34;VERSORGUNG;Männedorf;ZH;2018
135;SICHERHEIT;Männedorf;ZH;2018
11;RANG;Oberwil-Lieli;AG;2018
AG;KANTON;Oberwil-Lieli;AG;2018
Oberwil-Lieli;GEMEINDE;Oberwil-Lieli;AG;2018
119;WOHNEN;Oberwil-Lieli;AG;2018
33;ARBEITSMARKT;Oberwil-Lieli;AG;2018
11;BEVÖLKERUNG;Oberwil-Lieli;AG;2018
35;STEUERBELASTUNG;Oberwil-Lieli;AG;2018
431;ERREICHBARKEIT;Oberwil-Lieli;AG;2018
587;VERSORGUNG;Oberwil-Lieli;AG;2018
37;SICHERHEIT;Oberwil-Lieli;AG;2018
12;RANG;Küsnacht (ZH);ZH;2018
ZH;KANTON;Küsnacht (ZH);ZH;2018
Küsnacht (ZH);GEMEINDE;Küsnacht (ZH);ZH;2018
76;WOHNEN;Küsnacht (ZH);ZH;2018
335;ARBEITSMARKT;Küsnacht (ZH);ZH;2018
75;BEVÖLKERUNG;Küsnacht (ZH);ZH;2018
21;STEUERBELASTUNG;Küsnacht (ZH);ZH;2018
64;ERREICHBARKEIT;Küsnacht (ZH);ZH;2018
580;VERSORGUNG;Küsnacht (ZH);ZH;2018
135;SICHERHEIT;Küsnacht (ZH);ZH;2018
13;RANG;Uetikon Am See;ZH;2018
ZH;KANTON;Uetikon Am See;ZH;2018
Uetikon Am See;GEMEINDE;Uetikon Am See;ZH;2018
302;WOHNEN;Uetikon Am See;ZH;2018
206;ARBEITSMARKT;Uetikon Am See;ZH;2018
67;BEVÖLKERUNG;Uetikon Am See;ZH;2018
43;STEUERBELASTUNG;Uetikon Am See;ZH;2018
422;ERREICHBARKEIT;Uetikon Am See;ZH;2018
129;VERSORGUNG;Uetikon Am See;ZH;2018
135;SICHERHEIT;Uetikon Am See;ZH;2018
14;RANG;Dübendorf;ZH;2018
ZH;KANTON;Dübendorf;ZH;2018
Dübendorf;GEMEINDE;Dübendorf;ZH;2018
305;WOHNEN;Dübendorf;ZH;2018
25;ARBEITSMARKT;Dübendorf;ZH;2018
218;BEVÖLKERUNG;Dübendorf;ZH;2018
91;STEUERBELASTUNG;Dübendorf;ZH;2018
25;ERREICHBARKEIT;Dübendorf;ZH;2018
195;VERSORGUNG;Dübendorf;ZH;2018
612;SICHERHEIT;Dübendorf;ZH;2018
15;RANG;Unterägeri;ZG;2018
ZG;KANTON;Unterägeri;ZG;2018
Unterägeri;GEMEINDE;Unterägeri;ZG;2018
28;WOHNEN;Unterägeri;ZG;2018
32;ARBEITSMARKT;Unterägeri;ZG;2018
120;BEVÖLKERUNG;Unterägeri;ZG;2018
12;STEUERBELASTUNG;Unterägeri;ZG;2018
546;ERREICHBARKEIT;Unterägeri;ZG;2018
53;VERSORGUNG;Unterägeri;ZG;2018
529;SICHERHEIT;Unterägeri;ZG;2018
16;RANG;Altendorf;SZ;2018
SZ;KANTON;Altendorf;SZ;2018
Altendorf;GEMEINDE;Altendorf;SZ;2018
133;WOHNEN;Altendorf;SZ;2018
6;ARBEITSMARKT;Altendorf;SZ;2018
87;BEVÖLKERUNG;Altendorf;SZ;2018
15;STEUERBELASTUNG;Altendorf;SZ;2018
114;ERREICHBARKEIT;Altendorf;SZ;2018
792;VERSORGUNG;Altendorf;SZ;2018
399;SICHERHEIT;Altendorf;SZ;2018
17;RANG;Bottmingen;BL;2018
BL;KANTON;Bottmingen;BL;2018
Bottmingen;GEMEINDE;Bottmingen;BL;2018
322;WOHNEN;Bottmingen;BL;2018
11;ARBEITSMARKT;Bottmingen;BL;2018
128;BEVÖLKERUNG;Bottmingen;BL;2018
328;STEUERBELASTUNG;Bottmingen;BL;2018
58;ERREICHBARKEIT;Bottmingen;BL;2018
499;VERSORGUNG;Bottmingen;BL;2018
199;SICHERHEIT;Bottmingen;BL;2018
18;RANG;Herrliberg;ZH;2018
ZH;KANTON;Herrliberg;ZH;2018
Herrliberg;GEMEINDE;Herrliberg;ZH;2018
284;WOHNEN;Herrliberg;ZH;2018
137;ARBEITSMARKT;Herrliberg;ZH;2018
69;BEVÖLKERUNG;Herrliberg;ZH;2018
22;STEUERBELASTUNG;Herrliberg;ZH;2018
288;ERREICHBARKEIT;Herrliberg;ZH;2018
718;VERSORGUNG;Herrliberg;ZH;2018
135;SICHERHEIT;Herrliberg;ZH;2018
19;RANG;Unterengstringen;ZH;2018
ZH;KANTON;Unterengstringen;ZH;2018
Unterengstringen;GEMEINDE;Unterengstringen;ZH;2018
80;WOHNEN;Unterengstringen;ZH;2018
16;ARBEITSMARKT;Unterengstringen;ZH;2018
236;BEVÖLKERUNG;Unterengstringen;ZH;2018
81;STEUERBELASTUNG;Unterengstringen;ZH;2018
146;ERREICHBARKEIT;Unterengstringen;ZH;2018
320;VERSORGUNG;Unterengstringen;ZH;2018
715;SICHERHEIT;Unterengstringen;ZH;2018
20;RANG;Lachen;SZ;2018
SZ;KANTON;Lachen;SZ;2018
Lachen;GEMEINDE;Lachen;SZ;2018
81;WOHNEN;Lachen;SZ;2018
168;ARBEITSMARKT;Lachen;SZ;2018
129;BEVÖLKERUNG;Lachen;SZ;2018
16;STEUERBELASTUNG;Lachen;SZ;2018
77;ERREICHBARKEIT;Lachen;SZ;2018
73;VERSORGUNG;Lachen;SZ;2018
399;SICHERHEIT;Lachen;SZ;2018
21;RANG;Uitikon;ZH;2018
ZH;KANTON;Uitikon;ZH;2018
Uitikon;GEMEINDE;Uitikon;ZH;2018
160;WOHNEN;Uitikon;ZH;2018
150;ARBEITSMARKT;Uitikon;ZH;2018
15;BEVÖLKERUNG;Uitikon;ZH;2018
32;STEUERBELASTUNG;Uitikon;ZH;2018
15;ERREICHBARKEIT;Uitikon;ZH;2018
744;VERSORGUNG;Uitikon;ZH;2018
715;SICHERHEIT;Uitikon;ZH;2018
22;RANG;Birmensdorf (ZH);ZH;2018
ZH;KANTON;Birmensdorf (ZH);ZH;2018
Birmensdorf (ZH);GEMEINDE;Birmensdorf (ZH);ZH;2018
259;WOHNEN;Birmensdorf (ZH);ZH;2018
118;ARBEITSMARKT;Birmensdorf (ZH);ZH;2018
168;BEVÖLKERUNG;Birmensdorf (ZH);ZH;2018
124;STEUERBELASTUNG;Birmensdorf (ZH);ZH;2018
49;ERREICHBARKEIT;Birmensdorf (ZH);ZH;2018
170;VERSORGUNG;Birmensdorf (ZH);ZH;2018
715;SICHERHEIT;Birmensdorf (ZH);ZH;2018
23;RANG;Adliswil;ZH;2018
ZH;KANTON;Adliswil;ZH;2018
Adliswil;GEMEINDE;Adliswil;ZH;2018
446;WOHNEN;Adliswil;ZH;2018
65;ARBEITSMARKT;Adliswil;ZH;2018
394;BEVÖLKERUNG;Adliswil;ZH;2018
91;STEUERBELASTUNG;Adliswil;ZH;2018
26;ERREICHBARKEIT;Adliswil;ZH;2018
446;VERSORGUNG;Adliswil;ZH;2018
431;SICHERHEIT;Adliswil;ZH;2018
24;RANG;Fällanden;ZH;2018
ZH;KANTON;Fällanden;ZH;2018
Fällanden;GEMEINDE;Fällanden;ZH;2018
762;WOHNEN;Fällanden;ZH;2018
72;ARBEITSMARKT;Fällanden;ZH;2018
157;BEVÖLKERUNG;Fällanden;ZH;2018
63;STEUERBELASTUNG;Fällanden;ZH;2018
41;ERREICHBARKEIT;Fällanden;ZH;2018
166;VERSORGUNG;Fällanden;ZH;2018
612;SICHERHEIT;Fällanden;ZH;2018
25;RANG;Risch;ZG;2018
ZG;KANTON;Risch;ZG;2018
Risch;GEMEINDE;Risch;ZG;2018
174;WOHNEN;Risch;ZG;2018
9;ARBEITSMARKT;Risch;ZG;2018
243;BEVÖLKERUNG;Risch;ZG;2018
5;STEUERBELASTUNG;Risch;ZG;2018
460;ERREICHBARKEIT;Risch;ZG;2018
62;VERSORGUNG;Risch;ZG;2018
529;SICHERHEIT;Risch;ZG;2018
26;RANG;Lutry;VD;2018
VD;KANTON;Lutry;VD;2018
Lutry;GEMEINDE;Lutry;VD;2018
82;WOHNEN;Lutry;VD;2018
126;ARBEITSMARKT;Lutry;VD;2018
58;BEVÖLKERUNG;Lutry;VD;2018
573;STEUERBELASTUNG;Lutry;VD;2018
47;ERREICHBARKEIT;Lutry;VD;2018
174;VERSORGUNG;Lutry;VD;2018
234;SICHERHEIT;Lutry;VD;2018
27;RANG;Richterswil;ZH;2018
ZH;KANTON;Richterswil;ZH;2018
Richterswil;GEMEINDE;Richterswil;ZH;2018
475;WOHNEN;Richterswil;ZH;2018
53;ARBEITSMARKT;Richterswil;ZH;2018
169;BEVÖLKERUNG;Richterswil;ZH;2018
130;STEUERBELASTUNG;Richterswil;ZH;2018
305;ERREICHBARKEIT;Richterswil;ZH;2018
211;VERSORGUNG;Richterswil;ZH;2018
431;SICHERHEIT;Richterswil;ZH;2018
28;RANG;Pregny-Chambésy;GE;2018
GE;KANTON;Pregny-Chambésy;GE;2018
Pregny-Chambésy;GEMEINDE;Pregny-Chambésy;GE;2018
11;WOHNEN;Pregny-Chambésy;GE;2018
167;ARBEITSMARKT;Pregny-Chambésy;GE;2018
2;BEVÖLKERUNG;Pregny-Chambésy;GE;2018
190;STEUERBELASTUNG;Pregny-Chambésy;GE;2018
15;ERREICHBARKEIT;Pregny-Chambésy;GE;2018
189;VERSORGUNG;Pregny-Chambésy;GE;2018
885;SICHERHEIT;Pregny-Chambésy;GE;2018
29;RANG;Wallisellen;ZH;2018
ZH;KANTON;Wallisellen;ZH;2018
Wallisellen;GEMEINDE;Wallisellen;ZH;2018
291;WOHNEN;Wallisellen;ZH;2018
12;ARBEITSMARKT;Wallisellen;ZH;2018
235;BEVÖLKERUNG;Wallisellen;ZH;2018
60;STEUERBELASTUNG;Wallisellen;ZH;2018
13;ERREICHBARKEIT;Wallisellen;ZH;2018
353;VERSORGUNG;Wallisellen;ZH;2018
828;SICHERHEIT;Wallisellen;ZH;2018
30;RANG;Zürich;ZH;2018
ZH;KANTON;Zürich;ZH;2018
Zürich;GEMEINDE;Zürich;ZH;2018
145;WOHNEN;Zürich;ZH;2018
26;ARBEITSMARKT;Zürich;ZH;2018
447;BEVÖLKERUNG;Zürich;ZH;2018
167;STEUERBELASTUNG;Zürich;ZH;2018
1;ERREICHBARKEIT;Zürich;ZH;2018
71;VERSORGUNG;Zürich;ZH;2018
914;SICHERHEIT;Zürich;ZH;2018
31;RANG;Zumikon;ZH;2018
ZH;KANTON;Zumikon;ZH;2018
Zumikon;GEMEINDE;Zumikon;ZH;2018
208;WOHNEN;Zumikon;ZH;2018
358;ARBEITSMARKT;Zumikon;ZH;2018
66;BEVÖLKERUNG;Zumikon;ZH;2018
32;STEUERBELASTUNG;Zumikon;ZH;2018
85;ERREICHBARKEIT;Zumikon;ZH;2018
133;VERSORGUNG;Zumikon;ZH;2018
135;SICHERHEIT;Zumikon;ZH;2018
32;RANG;Wollerau;SZ;2018
SZ;KANTON;Wollerau;SZ;2018
Wollerau;GEMEINDE;Wollerau;SZ;2018
112;WOHNEN;Wollerau;SZ;2018
200;ARBEITSMARKT;Wollerau;SZ;2018
305;BEVÖLKERUNG;Wollerau;SZ;2018
9;STEUERBELASTUNG;Wollerau;SZ;2018
378;ERREICHBARKEIT;Wollerau;SZ;2018
246;VERSORGUNG;Wollerau;SZ;2018
483;SICHERHEIT;Wollerau;SZ;2018
33;RANG;Ingenbohl;SZ;2018
SZ;KANTON;Ingenbohl;SZ;2018
Ingenbohl;GEMEINDE;Ingenbohl;SZ;2018
82;WOHNEN;Ingenbohl;SZ;2018
24;ARBEITSMARKT;Ingenbohl;SZ;2018
519;BEVÖLKERUNG;Ingenbohl;SZ;2018
48;STEUERBELASTUNG;Ingenbohl;SZ;2018
563;ERREICHBARKEIT;Ingenbohl;SZ;2018
231;VERSORGUNG;Ingenbohl;SZ;2018
457;SICHERHEIT;Ingenbohl;SZ;2018
34;RANG;Otelfingen;ZH;2018
ZH;KANTON;Otelfingen;ZH;2018
Otelfingen;GEMEINDE;Otelfingen;ZH;2018
84;WOHNEN;Otelfingen;ZH;2018
128;ARBEITSMARKT;Otelfingen;ZH;2018
99;BEVÖLKERUNG;Otelfingen;ZH;2018
63;STEUERBELASTUNG;Otelfingen;ZH;2018
237;ERREICHBARKEIT;Otelfingen;ZH;2018
751;VERSORGUNG;Otelfingen;ZH;2018
418;SICHERHEIT;Otelfingen;ZH;2018
35;RANG;Horw;LU;2018
LU;KANTON;Horw;LU;2018
Horw;GEMEINDE;Horw;LU;2018
32;WOHNEN;Horw;LU;2018
29;ARBEITSMARKT;Horw;LU;2018
450;BEVÖLKERUNG;Horw;LU;2018
196;STEUERBELASTUNG;Horw;LU;2018
525;ERREICHBARKEIT;Horw;LU;2018
407;VERSORGUNG;Horw;LU;2018
273;SICHERHEIT;Horw;LU;2018
36;RANG;Steinhausen;ZG;2018
ZG;KANTON;Steinhausen;ZG;2018
Steinhausen;GEMEINDE;Steinhausen;ZG;2018
184;WOHNEN;Steinhausen;ZG;2018
7;ARBEITSMARKT;Steinhausen;ZG;2018
125;BEVÖLKERUNG;Steinhausen;ZG;2018
4;STEUERBELASTUNG;Steinhausen;ZG;2018
388;ERREICHBARKEIT;Steinhausen;ZG;2018
564;VERSORGUNG;Steinhausen;ZG;2018
529;SICHERHEIT;Steinhausen;ZG;2018
37;RANG;Erlenbach (ZH);ZH;2018
ZH;KANTON;Erlenbach (ZH);ZH;2018
Erlenbach (ZH);GEMEINDE;Erlenbach (ZH);ZH;2018
99;WOHNEN;Erlenbach (ZH);ZH;2018
296;ARBEITSMARKT;Erlenbach (ZH);ZH;2018
20;BEVÖLKERUNG;Erlenbach (ZH);ZH;2018
25;STEUERBELASTUNG;Erlenbach (ZH);ZH;2018
137;ERREICHBARKEIT;Erlenbach (ZH);ZH;2018
792;VERSORGUNG;Erlenbach (ZH);ZH;2018
135;SICHERHEIT;Erlenbach (ZH);ZH;2018
38;RANG;Wettswil Am Albis;ZH;2018
ZH;KANTON;Wettswil Am Albis;ZH;2018
Wettswil Am Albis;GEMEINDE;Wettswil Am Albis;ZH;2018
458;WOHNEN;Wettswil Am Albis;ZH;2018
2;ARBEITSMARKT;Wettswil Am Albis;ZH;2018
3;BEVÖLKERUNG;Wettswil Am Albis;ZH;2018
39;STEUERBELASTUNG;Wettswil Am Albis;ZH;2018
333;ERREICHBARKEIT;Wettswil Am Albis;ZH;2018
829;VERSORGUNG;Wettswil Am Albis;ZH;2018
486;SICHERHEIT;Wettswil Am Albis;ZH;2018
39;RANG;Bonstetten;ZH;2018
ZH;KANTON;Bonstetten;ZH;2018
Bonstetten;GEMEINDE;Bonstetten;ZH;2018
515;WOHNEN;Bonstetten;ZH;2018
239;ARBEITSMARKT;Bonstetten;ZH;2018
47;BEVÖLKERUNG;Bonstetten;ZH;2018
124;STEUERBELASTUNG;Bonstetten;ZH;2018
301;ERREICHBARKEIT;Bonstetten;ZH;2018
184;VERSORGUNG;Bonstetten;ZH;2018
486;SICHERHEIT;Bonstetten;ZH;2018
40;RANG;Teufen (AR);AR;2018
AR;KANTON;Teufen (AR);AR;2018
Teufen (AR);GEMEINDE;Teufen (AR);AR;2018
73;WOHNEN;Teufen (AR);AR;2018
288;ARBEITSMARKT;Teufen (AR);AR;2018
172;BEVÖLKERUNG;Teufen (AR);AR;2018
302;STEUERBELASTUNG;Teufen (AR);AR;2018
708;ERREICHBARKEIT;Teufen (AR);AR;2018
23;VERSORGUNG;Teufen (AR);AR;2018
34;SICHERHEIT;Teufen (AR);AR;2018
41;RANG;Reinach (BL);BL;2018
BL;KANTON;Reinach (BL);BL;2018
Reinach (BL);GEMEINDE;Reinach (BL);BL;2018
356;WOHNEN;Reinach (BL);BL;2018
92;ARBEITSMARKT;Reinach (BL);BL;2018
462;BEVÖLKERUNG;Reinach (BL);BL;2018
457;STEUERBELASTUNG;Reinach (BL);BL;2018
247;ERREICHBARKEIT;Reinach (BL);BL;2018
252;VERSORGUNG;Reinach (BL);BL;2018
199;SICHERHEIT;Reinach (BL);BL;2018
42;RANG;Uster;ZH;2018
ZH;KANTON;Uster;ZH;2018
Uster;GEMEINDE;Uster;ZH;2018
646;WOHNEN;Uster;ZH;2018
228;ARBEITSMARKT;Uster;ZH;2018
224;BEVÖLKERUNG;Uster;ZH;2018
108;STEUERBELASTUNG;Uster;ZH;2018
69;ERREICHBARKEIT;Uster;ZH;2018
128;VERSORGUNG;Uster;ZH;2018
612;SICHERHEIT;Uster;ZH;2018
43;RANG;Dietlikon;ZH;2018
ZH;KANTON;Dietlikon;ZH;2018
Dietlikon;GEMEINDE;Dietlikon;ZH;2018
251;WOHNEN;Dietlikon;ZH;2018
19;ARBEITSMARKT;Dietlikon;ZH;2018
258;BEVÖLKERUNG;Dietlikon;ZH;2018
52;STEUERBELASTUNG;Dietlikon;ZH;2018
64;ERREICHBARKEIT;Dietlikon;ZH;2018
442;VERSORGUNG;Dietlikon;ZH;2018
828;SICHERHEIT;Dietlikon;ZH;2018
44;RANG;Urdorf;ZH;2018
ZH;KANTON;Urdorf;ZH;2018
Urdorf;GEMEINDE;Urdorf;ZH;2018
484;WOHNEN;Urdorf;ZH;2018
134;ARBEITSMARKT;Urdorf;ZH;2018
429;BEVÖLKERUNG;Urdorf;ZH;2018
159;STEUERBELASTUNG;Urdorf;ZH;2018
70;ERREICHBARKEIT;Urdorf;ZH;2018
247;VERSORGUNG;Urdorf;ZH;2018
715;SICHERHEIT;Urdorf;ZH;2018
45;RANG;Saint-Sulpice (VD);VD;2018
VD;KANTON;Saint-Sulpice (VD);VD;2018
Saint-Sulpice (VD);GEMEINDE;Saint-Sulpice (VD);VD;2018
61;WOHNEN;Saint-Sulpice (VD);VD;2018
4;ARBEITSMARKT;Saint-Sulpice (VD);VD;2018
7;BEVÖLKERUNG;Saint-Sulpice (VD);VD;2018
567;STEUERBELASTUNG;Saint-Sulpice (VD);VD;2018
168;ERREICHBARKEIT;Saint-Sulpice (VD);VD;2018
215;VERSORGUNG;Saint-Sulpice (VD);VD;2018
659;SICHERHEIT;Saint-Sulpice (VD);VD;2018
46;RANG;Allschwil;BL;2018
BL;KANTON;Allschwil;BL;2018
Allschwil;GEMEINDE;Allschwil;BL;2018
282;WOHNEN;Allschwil;BL;2018
66;ARBEITSMARKT;Allschwil;BL;2018
525;BEVÖLKERUNG;Allschwil;BL;2018
522;STEUERBELASTUNG;Allschwil;BL;2018
37;ERREICHBARKEIT;Allschwil;BL;2018
199;VERSORGUNG;Allschwil;BL;2018
199;SICHERHEIT;Allschwil;BL;2018
47;RANG;Muttenz;BL;2018
BL;KANTON;Muttenz;BL;2018
Muttenz;GEMEINDE;Muttenz;BL;2018
400;WOHNEN;Muttenz;BL;2018
109;ARBEITSMARKT;Muttenz;BL;2018
471;BEVÖLKERUNG;Muttenz;BL;2018
489;STEUERBELASTUNG;Muttenz;BL;2018
68;ERREICHBARKEIT;Muttenz;BL;2018
337;VERSORGUNG;Muttenz;BL;2018
199;SICHERHEIT;Muttenz;BL;2018
48;RANG;Arlesheim;BL;2018
BL;KANTON;Arlesheim;BL;2018
Arlesheim;GEMEINDE;Arlesheim;BL;2018
555;WOHNEN;Arlesheim;BL;2018
92;ARBEITSMARKT;Arlesheim;BL;2018
172;BEVÖLKERUNG;Arlesheim;BL;2018
350;STEUERBELASTUNG;Arlesheim;BL;2018
78;ERREICHBARKEIT;Arlesheim;BL;2018
739;VERSORGUNG;Arlesheim;BL;2018
199;SICHERHEIT;Arlesheim;BL;2018
49;RANG;Galgenen;SZ;2018
SZ;KANTON;Galgenen;SZ;2018
Galgenen;GEMEINDE;Galgenen;SZ;2018
676;WOHNEN;Galgenen;SZ;2018
28;ARBEITSMARKT;Galgenen;SZ;2018
180;BEVÖLKERUNG;Galgenen;SZ;2018
34;STEUERBELASTUNG;Galgenen;SZ;2018
256;ERREICHBARKEIT;Galgenen;SZ;2018
395;VERSORGUNG;Galgenen;SZ;2018
399;SICHERHEIT;Galgenen;SZ;2018
50;RANG;Seuzach;ZH;2018
ZH;KANTON;Seuzach;ZH;2018
Seuzach;GEMEINDE;Seuzach;ZH;2018
313;WOHNEN;Seuzach;ZH;2018
123;ARBEITSMARKT;Seuzach;ZH;2018
441;BEVÖLKERUNG;Seuzach;ZH;2018
39;STEUERBELASTUNG;Seuzach;ZH;2018
111;ERREICHBARKEIT;Seuzach;ZH;2018
174;VERSORGUNG;Seuzach;ZH;2018
725;SICHERHEIT;Seuzach;ZH;2018
51;RANG;Langnau Am Albis;ZH;2018
ZH;KANTON;Langnau Am Albis;ZH;2018
Langnau Am Albis;GEMEINDE;Langnau Am Albis;ZH;2018
785;WOHNEN;Langnau Am Albis;ZH;2018
169;ARBEITSMARKT;Langnau Am Albis;ZH;2018
142;BEVÖLKERUNG;Langnau Am Albis;ZH;2018
76;STEUERBELASTUNG;Langnau Am Albis;ZH;2018
150;ERREICHBARKEIT;Langnau Am Albis;ZH;2018
351;VERSORGUNG;Langnau Am Albis;ZH;2018
431;SICHERHEIT;Langnau Am Albis;ZH;2018
52;RANG;Fehraltorf;ZH;2018
ZH;KANTON;Fehraltorf;ZH;2018
Fehraltorf;GEMEINDE;Fehraltorf;ZH;2018
207;WOHNEN;Fehraltorf;ZH;2018
323;ARBEITSMARKT;Fehraltorf;ZH;2018
358;BEVÖLKERUNG;Fehraltorf;ZH;2018
116;STEUERBELASTUNG;Fehraltorf;ZH;2018
51;ERREICHBARKEIT;Fehraltorf;ZH;2018
78;VERSORGUNG;Fehraltorf;ZH;2018
475;SICHERHEIT;Fehraltorf;ZH;2018
53;RANG;Oberrieden;ZH;2018
ZH;KANTON;Oberrieden;ZH;2018
Oberrieden;GEMEINDE;Oberrieden;ZH;2018
446;WOHNEN;Oberrieden;ZH;2018
234;ARBEITSMARKT;Oberrieden;ZH;2018
194;BEVÖLKERUNG;Oberrieden;ZH;2018
38;STEUERBELASTUNG;Oberrieden;ZH;2018
188;ERREICHBARKEIT;Oberrieden;ZH;2018
403;VERSORGUNG;Oberrieden;ZH;2018
431;SICHERHEIT;Oberrieden;ZH;2018
54;RANG;Schwyz;SZ;2018
SZ;KANTON;Schwyz;SZ;2018
Schwyz;GEMEINDE;Schwyz;SZ;2018
57;WOHNEN;Schwyz;SZ;2018
116;ARBEITSMARKT;Schwyz;SZ;2018
408;BEVÖLKERUNG;Schwyz;SZ;2018
61;STEUERBELASTUNG;Schwyz;SZ;2018
272;ERREICHBARKEIT;Schwyz;SZ;2018
209;VERSORGUNG;Schwyz;SZ;2018
457;SICHERHEIT;Schwyz;SZ;2018
55;RANG;Stäfa;ZH;2018
ZH;KANTON;Stäfa;ZH;2018
Stäfa;GEMEINDE;Stäfa;ZH;2018
669;WOHNEN;Stäfa;ZH;2018
217;ARBEITSMARKT;Stäfa;ZH;2018
227;BEVÖLKERUNG;Stäfa;ZH;2018
46;STEUERBELASTUNG;Stäfa;ZH;2018
354;ERREICHBARKEIT;Stäfa;ZH;2018
229;VERSORGUNG;Stäfa;ZH;2018
135;SICHERHEIT;Stäfa;ZH;2018
56;RANG;Hünenberg;ZG;2018
